Time | Swap | PID | Size | Dur. | Memory Map
 23  | out  | P27 |      |      | P31 P31 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 23  | in   | P32 | 03   | 5    | P31 P31 P32 P32 P32 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 24  | in   | P33 | 04   | 5    | P31 P31 P32 P32 P32 P33 P33 P33 P33 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 25  | out  | P31 |      |      | . . P32 P32 P32 P33 P33 P33 P33 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 25  | in   | P34 | 03   | 2    | . . P32 P32 P32 P33 P33 P33 P33 P34 P34 P34 . . . . . . . . . . . . . . . . . . . . . . . . . . . . 
 26  | in   | P35 | 04   | 4    | . . P32 P32 P32 P33 P33 P33 P33 P34 P34 P34 P35 P35 P35 P35 . . . . . . . . . . . . . . . . . . . . . . . . 
 27  | out  | P34 |      |      | . . P32 P32 P32 P33 P33 P33 P33 . . . P35 P35 P35 P35 . . . . . . . . . . . . . . . . . . . . . . . . 
 27  | in   | P36 | 04   | 3    | . . P32 P32 P32 P33 P33 P33 P33 . . . P35 P35 P35 P35 P36 P36 P36 P36 . . . . . . . . . . . . . . . . . . . . 
 28  | out  | P32 |      |      | . . . . . P33 P33 P33 P33 . . . P35 P35 P35 P35 P36 P36 P36 P36 . . . . . . . . . . . . . . . . . . . . 
 28  | in   | P37 | 03   | 4    | P37 P37 P37 . . P33 P33 P33 P33 . . . P35 P35 P35 P35 P36 P36 P36 P36 . . . . . . . . . . . . . . . . . . . . 
 29  | out  | P33 |      |      | P37 P37 P37 . . . . . . . . . P35 P35 P35 P35 P36 P36 P36 P36 . . . . . . . . . . . . . . . . . . . . 
